Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL,Platform
"Kohinoor Charminar Every Meal Rice (Mogra), 5 Kg",259.0,35.0,399.0,2.9,95,https://www.amazon.in/Kohinoor-Charminar-Every-Meal-Mogra/dp/B0824G1C26/ref=sr_1_100?dchild=1&qid=1591099869&s=pantry&sr=1-100,Amazon
"Amazon Brand - Vedaka Premium White Lobia, 1kg",100.0,33.0,150.0,4.1,564,https://www.amazon.in/Vedaka-Premium-White-Lobia-1kg/dp/B07H3K9V7P/ref=sr_1_102?dchild=1&qid=1591099869&s=pantry&sr=1-102,Amazon
"Jiwa Gluten Free Atta, 1Kg",125.0,37.0,199.0,3.5,313,https://www.amazon.in/Jiwa-Gluten-Free-Atta-1Kg/dp/B01A84IP22/ref=sr_1_101?dchild=1&qid=1591099869&s=grocery&sr=1-101,Amazon
"India Gate Basmati Rice Pouch, Feast Rozzana, 1kg",84.0,14.0,98.0,3.8,290,https://www.amazon.in/India-Gate-Basmati-Pouch-Rozzana/dp/B01JYTZ3VI/ref=sr_1_103?dchild=1&qid=1591099869&s=pantry&sr=1-103,Amazon
"India Gate Basmati Rice Pouch, Classic, 1kg",186.0,14.0,216.0,4.3,252,https://www.amazon.in/India-Gate-Basmati-Pouch-Classic/dp/B01JYTYSQE/ref=sr_1_104?dchild=1&qid=1591099869&s=pantry&sr=1-104,Amazon
AGROPHILIA White Quinoa 1 Kg,319.0,9.0,350.0,4.2,468,https://www.amazon.in/Agrophilia-White-Quinoa-1-kg/dp/B079JVMPBQ/ref=sr_1_110?dchild=1&qid=1591099869&s=grocery&sr=1-110,Amazon
"India Gate Basmati Rice, Rozana, 5kg",379.0,22.0,485.0,4.0,291,https://www.amazon.in/India-Gate-Basmati-Rice-Rozana/dp/B07C3WX9ZF/ref=sr_1_111?dchild=1&qid=1591099869&s=pantry&sr=1-111,Amazon
"24 Mantra Organic Urad Dal White Split, 500g",124.0,5.0,130.0,4.4,49,https://www.amazon.in/24-Mantra-Organic-White-Split/dp/B01CHUXLM4/ref=sr_1_117?dchild=1&qid=1591099869&s=pantry&sr=1-117,Amazon
"Kohinoor Super Silver Aged Basmati Rice, 1 Kg",119.0,30.0,169.0,4.0,53,https://www.amazon.in/Kohinoor-Super-Silver-Basmati-Rice/dp/B01H5MA3UW/ref=sr_1_118?dchild=1&qid=1591099869&s=pantry&sr=1-118,Amazon
"Kohinoor Supreme Authentic Basmati Rice, 1kg",165.0,28.0,229.0,4.4,49,https://www.amazon.in/Kohinoor-Supreme-Authentic-Basmati-Rice/dp/B07PP85TRK/ref=sr_1_119?dchild=1&qid=1591099869&s=pantry&sr=1-119,Amazon
