Product_Name,Brand,Discounted_Price,Discount,Original_Price,Product_Rating,No_of_ratings,Product_URL,Platform
BRU Instant Coffee,BRU Instant,175.0,2.0,180.0,4.4,2449,https://www.flipkart.com/bru-instant-coffee/p/itmfghzjtbvsb9ka?pid=CFEET82S2H2VSY5W&lid=LSTCFEET82S2H2VSY5WQCSUGL&marketplace=FLIPKART&srno=b_2_58&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.CFEET82S2H2VSY5W.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Lipton Pure & Light Green Tea Bags Box,Lipton,145.0,3.0,150.0,4.4,49437,https://www.flipkart.com/lipton-pure-light-green-tea-bags-box/p/itmex8erszekvngc?pid=TEAETC92X9NXPDWE&lid=LSTTEAETC92X9NXPDWEPVBYAA&marketplace=FLIPKART&srno=b_2_59&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.TEAETC92X9NXPDWE.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Sugar Free Gold 500 Pellets Sweetener,Sugar,237.0,5.0,250.0,4.6,557,https://www.flipkart.com/sugar-free-gold-500-pellets-sweetener/p/itm547462d920bf1?pid=ARSFZJHHCA59YTZN&lid=LSTARSFZJHHCA59YTZNZMJ978&marketplace=FLIPKART&srno=b_2_61&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.ARSFZJHHCA59YTZN.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Happilo Premium Dried Afghani Figs,Happilo,338.0,7.0,365.0,4.2,4289,https://www.flipkart.com/happilo-premium-dried-afghani-figs/p/itmf4n9pj4tqyduz?pid=NDFF4N9PJTTCWEGS&lid=LSTNDFF4N9PJTTCWEGS9ZBE05&marketplace=FLIPKART&srno=b_2_62&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.NDFF4N9PJTTCWEGS.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Saffola Gold Blended Oil Pouch,Saffola,576.0,9.0,636.0,4.5,1970,https://www.flipkart.com/saffola-gold-blended-oil-pouch/p/itmf5ytwzhbtvzgm?pid=EDOFHZYQGQUHFX2D&lid=LSTEDOFHZYQGQUHFX2DX3SNA4&marketplace=FLIPKART&srno=b_2_63&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.EDOFHZYQGQUHFX2D.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Saffola Active Blended Oil Pouch,Saffola,520.0,10.0,580.0,4.5,2773,https://www.flipkart.com/saffola-active-blended-oil-pouch/p/itmevmncsjmck6wn?pid=EDOFHZYQHEAFSBZH&lid=LSTEDOFHZYQHEAFSBZHP75SAC&marketplace=FLIPKART&srno=b_2_65&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.EDOFHZYQHEAFSBZH.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Maggi Masala Magic,Maggi Masala,50.0,9.0,55.0,4.6,1356,https://www.flipkart.com/maggi-masala-magic/p/itmfg4fmnxdvzgmn?pid=SCMFG4FMZF2KZ8XE&lid=LSTSCMFG4FMZF2KZ8XE75VOKU&marketplace=FLIPKART&srno=b_2_66&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.SCMFG4FMZF2KZ8XE.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Kellogg's Crunchy Granola Almonds and Cranberries,Kellogg's,299.0,5.0,315.0,4.5,1195,https://www.flipkart.com/kellogg-s-crunchy-granola-almonds-cranberries/p/itmf5vzeuq7vbxwk?pid=CAFF5VZEPXHTV8Z5&lid=LSTCAFF5VZEPXHTV8Z5M0PFRR&marketplace=FLIPKART&srno=b_2_67&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.CAFF5VZEPXHTV8Z5.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Horlicks Classic Malt,Horlicks Classic,228.0,0.0,229.0,4.5,19949,https://www.flipkart.com/horlicks-classic-malt/p/itmf2zkfvwzghgga?pid=MDMEUJWYWF3V8KEZ&lid=LSTMDMEUJWYWF3V8KEZIGLIIW&marketplace=FLIPKART&srno=b_2_68&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.MDMEUJWYWF3V8KEZ.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Amul Pure Ghee 1 L Pouch,Amul,504.0,0.0,505.0,4.6,1162,https://www.flipkart.com/amul-pure-ghee-1-l-pouch/p/itmf7dvqpybgtgum?pid=GHEFG48VHC4G4U8S&lid=LSTGHEFG48VHC4G4U8SLORL6C&marketplace=FLIPKART&srno=b_2_71&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.GHEFG48VHC4G4U8S.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
"Tang Orange Instant Drink Mix, 500g(Each)",Tang,264.0,2.0,270.0,4.4,8851,https://www.flipkart.com/tang-orange-instant-drink-mix-500g-each/p/itmfgdjheewc42f3?pid=CNCFCMUJQZKWHQPN&lid=LSTCNCFCMUJQZKWHQPN3HMKGR&marketplace=FLIPKART&srno=b_2_72&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.CNCFCMUJQZKWHQPN.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Flipkart Supermart Select Besan,Flipkart,114.0,24.0,150.0,4.3,419,https://www.flipkart.com/flipkart-supermart-select-besan/p/itmaec3d72bb27c9?pid=FLRF4SSGRYVZGCWH&lid=LSTFLRF4SSGRYVZGCWHLI88QV&marketplace=FLIPKART&srno=b_2_73&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.FLRF4SSGRYVZGCWH.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
