,Product_name,Discount,Discounted_Price,Original_Price,Product_Url,Product_Rating,No_of_ratings,Platform
83,Healthy Life Pure Honey 400 g (Get +400 g Extra),0, 317.00, 317.00,https://www.jiomart.com/healthy-life-pure-honey-400-g-get-400-g-extra-491586287,0, 0,Jiomart
84,Cadbury Dairy Milk Silk Oreo Chocolate Bar 60 g, 7%  , 74.40, 80.00,https://www.jiomart.com/cadbury-dairy-milk-silk-oreo-chocolate-bar-60-g-491317355,0, 0,Jiomart
85,Sunfeast Dark Fantasy Choco Fill Cookies 300 g, 33%  , 80.00, 120.00,https://www.jiomart.com/sunfeast-dark-fantasy-choco-fill-cookies-300-g-491319789,0, 0,Jiomart
86,Kit Kat Wafer Chocolate Bar 132 g, 15%  , 85.00, 100.00,https://www.jiomart.com/kit-kat-wafer-chocolate-bar-132-g-491011052,0, 0,Jiomart
87,Parle Monaco Salted Biscuits 200 g, 10%  , 27.00, 30.00,https://www.jiomart.com/parle-monaco-salted-biscuits-200-g-490000415,0, 0,Jiomart
88,Pillsbury Choco Trio Cookie Cake 120 g, 18%  , 49.00, 60.00,https://www.jiomart.com/pillsbury-choco-trio-cookie-cake-120-g-491299174,0, 0,Jiomart
89,Parle Krack Jack Biscuits 200 g, 7%  , 28.00, 30.00,https://www.jiomart.com/parle-krack-jack-biscuits-200-g-490000411,0, 0,Jiomart
90,MTR Instant Dosa Mix 500 g, 10%  , 99.00, 110.00,https://www.jiomart.com/mtr-instant-dosa-mix-500-g-490000389,0, 0,Jiomart
91,MTR Instant Rava Dosa Mix 500 g, 10%  , 99.00, 110.00,https://www.jiomart.com/mtr-instant-rava-dosa-mix-500-g-490008967,0, 0,Jiomart
92,Garden Mumbai Special Diet Bhel 150 g, 10%  , 43.20, 48.00,https://www.jiomart.com/garden-mumbai-special-diet-bhel-150-g-490009216,0, 0,Jiomart
93,Britannia Vita Marie Gold Biscuits 300 g, 10%  , 36.00, 40.00,https://www.jiomart.com/britannia-vita-marie-gold-biscuits-300-g-490016258,0, 0,Jiomart
94,Mcvitie's Digestive Biscuits Value Pack 200 g, 40%  , 24.00, 40.00,https://www.jiomart.com/mcvitie-s-digestive-biscuits-value-pack-200-g-491551732,0, 0,Jiomart
95,Haldiram's Nagpur Tasty Nuts 150 g, 7%  , 30.69, 33.00,https://www.jiomart.com/haldiram-s-nagpur-tasty-nuts-150-g-490000268,0, 0,Jiomart
96,Kellogg's Chocos Moon & Stars 1.2 kg, 50%  , 262.50, 525.00,https://www.jiomart.com/kellogg-s-chocos-moon-stars-1-2-kg-491586164,0, 0,Jiomart
97,Haldiram's Nagpur Aloo Bhujia 150 g, 7%  , 32.55, 35.00,https://www.jiomart.com/haldiram-s-nagpur-aloo-bhujia-150-g-490000270,0, 0,Jiomart
98,Snactac Chocolate Wafers 75 g, 50%  , 22.50, 45.00,https://www.jiomart.com/snactac-chocolate-wafers-75-g-491551863,0, 0,Jiomart
99,MTR Vermicelli 850 g, 12%  , 70.00, 80.00,https://www.jiomart.com/mtr-vermicelli-850-g-490008968,0, 0,Jiomart
100,Amul Choco Minis 250 g, 18%  , 99.00, 120.00,https://www.jiomart.com/amul-choco-minis-250-g-490115466,0, 0,Jiomart
101,Dukes Salted Nibbles 150 g, 30%  , 35.00, 50.00,https://www.jiomart.com/dukes-salted-nibbles-150-g-490867199,0, 0,Jiomart
102,Dukes Nice Biscuits 150 g (Pack of 3), 10%  , 44.00, 49.00,https://www.jiomart.com/dukes-nice-biscuits-150-g-pack-of-3-491249671,0, 0,Jiomart
103,Cadbury Dairy Milk Chocolate Bar 12 g, 7%  , 9.30, 10.00,https://www.jiomart.com/cadbury-dairy-milk-chocolate-bar-12-g-490000241,0, 0,Jiomart
104,Cadbury Dairy Milk Chocolate Bar 25.3 g, 10%  , 18.00, 20.00,https://www.jiomart.com/cadbury-dairy-milk-chocolate-bar-25-3-g-490000242,0, 0,Jiomart
105,Cadbury Dairy Milk Fruit & Nut Chocolate Bar 36 g, 7%  , 41.85, 45.00,https://www.jiomart.com/cadbury-dairy-milk-fruit-nut-chocolate-bar-36-g-490000243,0, 0,Jiomart
106,Omahi Potato Chips Magic Masala 46 gm, 50%  , 10.00, 20.00,https://www.jiomart.com/omahi-potato-chips-magic-masala-46-gm-491587205,0, 0,Jiomart
107,Fruitella Orange Candy 45 g (Stick), 7%  , 27.90, 30.00,https://www.jiomart.com/fruitella-orange-candy-45-g-stick-490432375,0, 0,Jiomart
108,Cadbury Perk Twin Wafer Chocolate Bar 28 g, 7%  , 9.30, 10.00,https://www.jiomart.com/cadbury-perk-twin-wafer-chocolate-bar-28-g-491074314,0, 0,Jiomart
109,Cadbury Fuse Chocolate Bar 25 g + 2.5 g, 7%  , 18.60, 20.00,https://www.jiomart.com/cadbury-fuse-chocolate-bar-25-g-2-5-g-491297816,0, 0,Jiomart
110,Dukes Creme 4 Fun Cream Biscuits Combo Pack 450 g, 10%  , 53.00, 59.00,https://www.jiomart.com/dukes-creme-4-fun-cream-biscuits-combo-pack-450-g-491228310,0, 0,Jiomart
111,Cadbury Fuse Chocolate Bar 50 g, 17%  , 29.00, 35.00,https://www.jiomart.com/cadbury-fuse-chocolate-bar-50-g-491297817,0, 0,Jiomart
112,MTR Instant Rava Idli Mix 1 kg, 24%  , 155.00, 205.00,https://www.jiomart.com/mtr-instant-rava-idli-mix-1-kg-490009574,0, 0,Jiomart
113,Parle Hide & Seek Chocolate Chip Cookies 100 g, 10%  , 27.00, 30.00,https://www.jiomart.com/parle-hide-seek-chocolate-chip-cookies-100-g-491062929,0, 0,Jiomart
