Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL
Kohinoor Charminar Rozana Basmati Rice 5 kg,337,28%,₹470,3.8,394,https://www.amazon.in/Charminar-Rozana-Basmati-Rice-KG/dp/B01MR82XEF/ref=sr_1_75?dchild=1&qid=1591099869&s=pantry&sr=1-75
"BB Consumer Products Moong Dal (Yellow), 1 kg",145,0%,,4,26,https://www.amazon.in/BB-Consumer-Products-Moong-Yellow/dp/B08716B8DM/ref=sr_1_76?dchild=1&qid=1591099869&s=pantry&sr=1-76
"Amazon Brand - Vedaka Premium Chana Dal, 500g",46,34%,₹70,4.3,908,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Chana/dp/B079NNMJN4/ref=sr_1_77?dchild=1&qid=1591099869&s=pantry&sr=1-77
"Daawat Brown Basmati Rice, 5kg",634,9%,₹700,4.2,816,https://www.amazon.in/Daawat-Brown-Basmati-Rice-5kg/dp/B01H5MC7X8/ref=sr_1_78?dchild=1&qid=1591099869&s=pantry&sr=1-78
GrowFit Low Carb Gluten Free Roti Flour (1Kg),790,0%,,3.3,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg4_1?ie=UTF8&adId=A040305033MHK9NHB8UG7&url=%2FGrow-Fit-Carb-Non-Gluten-Flour%2Fdp%2FB077PN52J7%2Fref%3Dsr_1_73_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-73-spons%26psc%3D1&qualifier=1591153671&id=1995043500455944&widgetName=sp_atf_browse
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559,20%,₹700,3.9,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg4_2?ie=UTF8&adId=A07527491I4A4JEBHYATH&url=%2FSHRILALMAHAL-Fitness-Basmati-Weight-Special%2Fdp%2FB07DXZX8FR%2Fref%3Dsr_1_74_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-74-spons%26psc%3D1&qualifier=1591153671&id=1995043500455944&widgetName=sp_atf_browse
Earthspired Special Multigrain Flour with Low Glycemic Index Ingredients (1kg),250,15%,₹295,3.4,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg4_3?ie=UTF8&adId=A08328631GG0WFE6RAK3X&url=%2FEarthspired-Special-Multigrain-Glycemic-Ingredients%2Fdp%2FB01MU3ITN7%2Fref%3Dsr_1_75_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-75-spons%26psc%3D1&qualifier=1591153671&id=1995043500455944&widgetName=sp_atf_browse
"Kohinoor Super Silver Aged Basmati Rice, 5 Kg",599,40%,₹999,4.1,533,https://www.amazon.in/Kohinoor-Super-Silver-Aged-Basmati/dp/B01COSFW9Y/ref=sr_1_76?dchild=1&qid=1591099869&s=grocery&sr=1-76
Swastik Pure & Tasty Refined Fibrous Sattu 1.5 kg (Pack of 3pc 500g),370,24%,₹490,4.3,48,https://www.amazon.in/Swastik-Tasty-Refined-Fibrous-Sattu/dp/B081RC61YN/ref=sr_1_77?dchild=1&qid=1591099869&s=grocery&sr=1-77
"24 Mantra Organic Besan, 500g",72,15%,₹85,4.4,287,https://www.amazon.in/24-Mantra-Organic-Besan-Flour/dp/B01CHV07UC/ref=sr_1_78?dchild=1&qid=1591099869&s=pantry&sr=1-78
"Aashirvaad Select Superior Sharbati Atta, 5kg",274,6%,₹290,4.4,414,https://www.amazon.in/Aashirvaad-Select-Superior-Sharbati-Atta/dp/B0744PC11K/ref=sr_1_79?dchild=1&qid=1591099869&s=pantry&sr=1-79
"Daawat Rozana Mini Mogra Rice, 10kg",495,6%,₹525,3.1,313,https://www.amazon.in/Daawat-Rozana-Mini-Mogra-Rice/dp/B01NA7U1CT/ref=sr_1_80?dchild=1&qid=1591099869&s=pantry&sr=1-80
"Daawat Biryani Basmati Rice, 1kg",189,14%,₹220,4.3,181,https://www.amazon.in/Daawat-Biryani-Basmati-Rice-1kg/dp/B01CHUQJ8W/ref=sr_1_81?dchild=1&qid=1591099869&s=pantry&sr=1-81
"Amazon Brand - Vedaka Premium Chana Dal, 1 kg",92,34%,₹140,4.3,908,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Chana/dp/B079NQH74R/ref=sr_1_82?dchild=1&qid=1591099869&s=pantry&sr=1-82
"Amazon Brand - Vedaka Premium Red Rajma, 1kg",134,16%,₹160,4.1,718,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Rajma/dp/B079N8SHFF/ref=sr_1_83?dchild=1&qid=1591099869&s=pantry&sr=1-83
"Aashirvaad Superior MP Atta Bag, 10kg",459,6%,₹490,3.9,316,https://www.amazon.in/Aashirvaad-Superior-Atta-Bag-10kg/dp/B071YF58K5/ref=sr_1_84?dchild=1&qid=1591099869&s=pantry&sr=1-84
"Aashirvaad Atta, Multigrains, 5kg",,0%,,4.2,216,https://www.amazon.in/Aashirvaad-Atta-Multigrains-5-kg/dp/B009BA7S8M/ref=sr_1_85?dchild=1&qid=1591099869&s=grocery&sr=1-85
"Fitness Mantra White Quinoa Seeds Pouch, 1 kg",299,15%,₹350,4.1,1395,https://www.amazon.in/Fitness-Mantra-White-Quinoa-Seeds/dp/B07H1C3H9S/ref=sr_1_86?dchild=1&qid=1591099869&s=grocery&sr=1-86
"Fortune Sona Masoori Rice, 5kg",313,22%,₹399,3.6,412,https://www.amazon.in/Fortune-Sona-Masoori-Regular-5kg/dp/B07GY2BN7L/ref=sr_1_87?dchild=1&qid=1591099869&s=pantry&sr=1-87
"NutroActive BrownXatta Atta, High Protein & Low Carb Keto Friendly Flour - 3.4 Kg",1048,4%,"₹1,089",3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg4_1?ie=UTF8&adId=A01571248RAU0GR0T2SU&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB071GYHG8M%2Fref%3Dsr_1_88_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-88-spons%26psc%3D1&qualifier=1591153671&id=1995043500455944&widgetName=sp_mtf_browse
"NutroActive BrownXatta, HIGH Protein & Low Carb Keto Friendly Flour 850 gm",312,4%,₹324,3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg4_2?ie=UTF8&adId=A01572809A9YCMV2SC8Z&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB06XQMG23M%2Fref%3Dsr_1_89_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-89-spons%26psc%3D1&qualifier=1591153671&id=1995043500455944&widgetName=sp_mtf_browse
